episode,total_reward,avg_wait,avg_loss,epsilon
340,-1.5469,36.82,0.000143,0.5063
341,-1.7125,40.17,0.000179,0.5053
342,-1.8234,42.22,0.000175,0.5042
343,-2.1828,53.54,0.000186,0.5032
344,-2.1266,54.81,0.000174,0.5022
345,-1.9625,49.02,0.000192,0.5012
346,-2.0828,48.62,0.000176,0.5002
347,-1.9703,47.34,0.000188,0.4992
348,-1.9547,48.24,0.000177,0.4982
349,-2.0703,57.34,0.000193,0.4972
350,-1.6109,38.71,0.000169,0.4962
351,-2.0094,56.04,0.00017,0.4952
352,-1.8625,49.04,0.000203,0.4943
353,-2.1531,63.87,0.000195,0.4933
354,-2.0109,54.79,0.000164,0.4923
355,-2.0078,49.0,0.000177,0.4913
356,-2.0719,52.52,0.00018,0.4903
357,-2.0109,56.45,0.000185,0.4893
358,-2.0391,62.18,0.000171,0.4884
359,-1.9094,45.85,0.00019,0.4874
360,-1.9719,57.87,0.000167,0.4864
361,-1.9328,56.57,0.000174,0.4854
362,-1.9531,45.33,0.000179,0.4845
363,-1.7344,43.04,0.000167,0.4835
364,-1.7156,40.33,0.000188,0.4825
365,-1.7828,41.32,0.000173,0.4816
366,-1.6312,38.8,0.00018,0.4806
367,-1.7563,42.8,0.000177,0.4796
368,-2.1422,55.79,0.000153,0.4787
369,-1.9297,52.22,0.000174,0.4777
370,-1.8969,46.47,0.000178,0.4768
371,-1.875,45.32,0.000162,0.4758
372,-2.1875,56.07,0.000196,0.4749
373,-1.8266,49.68,0.000169,0.4739
374,-2.1391,54.09,0.000163,0.473
375,-1.8594,45.13,0.00015,0.472
376,-1.9297,50.76,0.000153,0.4711
377,-1.9453,50.14,0.000166,0.4701
378,-1.6297,39.46,0.000151,0.4692
379,-1.9359,50.77,0.000161,0.4682
380,-1.8672,42.92,0.000167,0.4673
381,-2.1547,51.15,0.000153,0.4664
382,-2.0031,57.23,0.000177,0.4654
383,-1.7359,43.24,0.000182,0.4645
384,-2.0141,50.06,0.000178,0.4636
385,-2.0375,52.23,0.000152,0.4627
386,-1.8078,40.91,0.000171,0.4617
387,-1.8141,43.61,0.000155,0.4608
388,-1.6672,39.75,0.00017,0.4599
389,-2.0375,62.86,0.00016,0.459
390,-1.7047,40.21,0.000181,0.458
391,-1.6812,39.14,0.000168,0.4571
392,-2.0406,52.66,0.000163,0.4562
393,-2.0891,53.42,0.000166,0.4553
394,-1.9547,51.84,0.000158,0.4544
395,-1.9313,46.56,0.000177,0.4535
396,-2.0781,51.48,0.000172,0.4526
397,-2.1359,59.2,0.000144,0.4517
398,-2.1734,66.5,0.000172,0.4508
399,-1.8297,41.84,0.000161,0.4499
400,-1.65,39.61,0.000145,0.449
401,-1.8547,46.04,0.000149,0.4481
402,-1.6734,35.19,0.000167,0.4472
403,-1.8156,43.54,0.00017,0.4463
404,-1.7422,44.29,0.000165,0.4454
405,-1.7016,42.46,0.000166,0.4445
406,-2.3031,63.17,0.000175,0.4436
407,-1.6922,37.71,0.000164,0.4427
408,-1.7344,39.38,0.000175,0.4418
409,-1.8625,51.1,0.000151,0.441
410,-2.0109,50.07,0.000166,0.4401
411,-1.9062,47.84,0.00015,0.4392
412,-1.7906,41.17,0.000154,0.4383
413,-1.8594,43.7,0.000156,0.4374
414,-1.9859,43.38,0.000169,0.4366
415,-1.925,49.83,0.000158,0.4357
416,-1.7828,42.52,0.00016,0.4348
417,-1.8391,48.71,0.00016,0.4339
418,-2.0047,49.98,0.000157,0.4331
419,-1.7656,44.64,0.00015,0.4322
420,-1.5281,34.26,0.000143,0.4313
421,-1.825,44.27,0.000168,0.4305
422,-2.2187,69.87,0.000164,0.4296
423,-1.7953,38.53,0.000159,0.4288
424,-2.1094,59.78,0.000168,0.4279
425,-1.8531,44.59,0.000154,0.4271
426,-1.9328,47.14,0.000134,0.4262
427,-1.6016,34.28,0.000145,0.4253
428,-2.0031,49.08,0.000168,0.4245
429,-1.7313,42.04,0.00016,0.4236
430,-1.8875,49.75,0.000165,0.4228
431,-1.8359,44.51,0.000151,0.422
432,-1.7437,40.41,0.000153,0.4211
433,-1.9937,50.84,0.000144,0.4203
434,-1.7828,42.09,0.000153,0.4194
435,-1.8375,42.92,0.000141,0.4186
436,-1.7234,44.9,0.000136,0.4177
437,-2.0891,48.79,0.000151,0.4169
438,-2.0437,51.89,0.000163,0.4161
439,-2.1672,55.6,0.000161,0.4152
440,-1.9953,47.07,0.000148,0.4144
441,-1.8062,44.73,0.000178,0.4136
442,-2.0859,54.38,0.000153,0.4128
443,-3.4656,165.28,0.000212,0.4119
444,-1.7859,36.94,0.00014,0.4111
445,-1.9281,49.39,0.000179,0.4103
446,-1.9328,45.69,0.000171,0.4095
447,-1.7187,43.11,0.000173,0.4087
448,-1.7219,38.46,0.000153,0.4078
449,-1.7578,42.38,0.000181,0.407
450,-1.6984,34.19,0.000167,0.4062
451,-1.9313,50.21,0.00016,0.4054
452,-1.8078,38.74,0.000147,0.4046
453,-2.2781,64.65,0.000174,0.4038
454,-1.7156,39.91,0.000166,0.403
455,-2.0453,47.3,0.000144,0.4022
456,-1.8297,40.53,0.000164,0.4014
457,-2.0469,53.32,0.000145,0.4006
458,-1.7766,43.55,0.000155,0.3997
459,-1.7922,42.5,0.000175,0.3989
460,-1.7391,39.27,0.000176,0.3982
461,-1.7812,45.44,0.000194,0.3974
462,-1.9172,57.7,0.000174,0.3966
463,-2.1937,58.09,0.000156,0.3958
464,-1.7375,40.16,0.000184,0.395
465,-2.0281,48.29,0.000178,0.3942
466,-1.9703,60.91,0.000167,0.3934
467,-1.7531,40.97,0.000158,0.3926
468,-1.9328,46.14,0.000181,0.3918
469,-2.1266,53.52,0.000191,0.391
470,-1.8859,45.04,0.000165,0.3903
471,-1.6391,40.25,0.000167,0.3895
472,-1.6469,38.09,0.000161,0.3887
473,-1.7031,40.28,0.000183,0.3879
474,-1.8953,46.63,0.000136,0.3871
475,-2.075,49.97,0.000169,0.3864
476,-2.1172,54.06,0.000141,0.3856
